Date,Message,Admin,
08/31/2026 18:18:54,Identity status for User:(6771146), was changed to Approved by d.francisco.,d.francisco
08/31/2026 18:18:54,KYC status for User:(6771146), was changed to Approved by d.francisco.,d.francisco
08/31/2026 18:18:34,Player profile (244944733667 - 6771146) was modified.,d.francisco,
08/31/2026 18:18:07,Identity status for User:(6771154), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:18:07,KYC status for User:(6771154), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:17:41,KYC status for User:(6771161), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:17:41,Identity status for User:(6771161), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:17:31,Identity status for User:(6771161), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:17:31,KYC status for User:(6771161), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:16:14,Identity status for User:(6771174), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:16:14,KYC status for User:(6771174), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:15:57,KYC status for User:(6771190), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:15:57,Identity status for User:(6771190), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:15:35,KYC status for User:(6771198), was changed to Approved by d.francisco.,d.francisco
08/31/2026 18:15:35,Identity status for User:(6771198), was changed to Approved by d.francisco.,d.francisco
08/31/2026 18:15:19,Player profile (244957469849 - 6771198) was modified.,d.francisco,
08/31/2026 18:13:28,Identity status for User:(6771198), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:13:28,KYC status for User:(6771198), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:13:14,Identity status for User:(6771211), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:13:14,KYC status for User:(6771211), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:12:46,KYC status for User:(6771213), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:12:46,Identity status for User:(6771213), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:12:27,Identity status for User:(6771217), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:12:27,KYC status for User:(6771217), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:12:08,KYC status for User:(6771219), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:12:08,Identity status for User:(6771219), was changed to Rejected by d.francisco.,d.francisco
